CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F167,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F837,
94,E06000017,Rutland,Local Authorities,LA,11,37369,1854,1129,721,2352,1434,831,1740,1907,6686,7521,2715,4218,2530,719,382,42.36702,43,339,
95,E06000018,Nottingham,Local Authorities,LA,42,305680,19959,10194,6235,15860,6818,16913,42766,26232,61519,47678,12626,17520,12877,3529,1626,34.78955,30,4085,
96,E06000019,"Herefordshire, County of",Local Authorities,LA,48,183477,9580,5550,3630,10494,4519,3904,9431,9681,32849,38958,13604,20496,13196,3535,1789,42.97913,44,2020,
97,E06000020,Telford and Wrekin,Local Authorities,LA,22,166641,11344,6185,3822,10594,4675,4565,10863,10888,34329,33021,10010,13928,7481,1771,909,38.06539,38,2280,
98,E06000021,Stoke-on-Trent,Local Authorities,LA,34,249008,17092,8935,5254,14260,6233,6977,19089,18156,49752,46896,14721,20984,13119,3296,1419,38.45328,38,3557,
99,E06000022,Bath and North East Somerset,Local Authorities,LA,65,176016,9238,5192,3508,9568,4125,7086,15995,10141,32400,34073,10802,15928,10981,3249,1659,40.31044,40,1836,
100,E06000023,"Bristol, City of",Local Authorities,LA,77,428234,29633,14371,8466,21703,8922,13711,44371,40752,95160,70787,20078,27725,19235,5798,3114,36.45731,33,6459,
101,E06000024,North Somerset,Local Authorities,LA,82,202566,11653,6681,4343,11579,4749,4181,9491,10363,38286,41557,14654,22071,14043,4175,2344,42.61695,44,2307,
102,E06000025,South Gloucestershire,Local Authorities,LA,70,262767,15925,8967,5641,15858,6958,7102,15458,15606,53974,53582,15748,24040,14835,3648,1886,39.81716,40,3101,
103,E06000026,Plymouth,Local Authorities,LA,58,256384,15336,7956,4991,13645,6011,8839,24343,18888,48662,47904,15140,21999,14098,3639,1979,38.96015,38,3182,
104,E06000027,Torbay,Local Authorities,LA,65,130959,6690,3851,2426,7092,3120,2839,6779,6700,22055,26774,10169,15564,10219,3190,1881,44.17619,46,1345,
105,E06000028,Bournemouth,Local Authorities,LA,84,183491,10275,4862,2999,8399,3517,6141,17130,14935,39070,31930,10190,14661,11504,3834,2312,39.98042,38,2193,
106,E06000029,Poole,Local Authorities,LA,45,147645,8450,4687,2896,7924,3557,3361,8180,8712,28855,29335,9828,14563,10676,3167,1752,42.11806,42,1749,
107,E06000030,Swindon,Local Authorities,LA,29,209156,14083,7551,4722,12433,5141,4690,12859,15075,48338,41827,10990,15160,9899,2616,1179,38.06019,38,2945,
108,E06000031,Peterborough,Local Authorities,LA,21,183631,13904,7088,4336,11349,4741,4298,12502,15046,40315,33333,9382,12701,8829,2258,1090,36.91632,35,2905,
109,E06000032,Luton,Local Authorities,LA,28,203201,16592,8809,5412,13211,5425,5404,16621,18812,43926,34030,8346,12644,8440,1877,920,34.75405,32,3391,
110,E06000033,Southend-on-Sea,Local Authorities,LA,52,173658,11213,5783,3715,10194,4322,3730,9832,11282,36929,33309,10419,15184,10548,3223,1843,40.18441,40,2212,
111,E06000034,Thurrock,Local Authorities,LA,16,157705,12005,6428,3803,9949,4117,3623,9804,11162,36566,29375,8739,10738,6657,1844,782,36.83433,36,2456,
112,E06000035,Medway,Local Authorities,LA,40,263925,17224,9732,6235,16765,7463,8110,19041,17581,54321,51536,15454,20652,11946,2915,1492,37.74181,37,3454,
113,E06000036,Bracknell Forest,Local Authorities,LA,9,113205,8027,4218,2527,7082,3198,2425,6349,7721,26631,23439,5833,7520,4742,1247,638,37.42058,37,1585,
114,E06000037,West Berkshire,Local Authorities,LA,23,153822,10065,5512,3505,9914,4303,3235,7341,8506,33010,32957,9753,12949,7590,2065,1022,39.43545,40,2075,
115,E06000038,Reading,Local Authorities,LA,34,155698,11937,5463,3093,7968,3279,4875,14574,15113,38506,25030,6373,9058,6132,1704,938,35.344,33,2601,
116,E06000039,Slough,Local Authorities,LA,16,140205,12777,6276,3718,9034,3664,3155,9574,13351,35902,23015,5160,6637,4505,1103,579,33.4753,32,2663,
117,E06000040,Windsor and Maidenhead,Local Authorities,LA,26,144560,9365,5252,3332,8863,3910,2585,7111,8841,31949,28735,8692,12424,8164,2243,1246,39.75173,40,1835,
118,E06000041,Wokingham,Local Authorities,LA,33,154380,10031,5758,3793,9740,4090,3349,7428,8071,33741,33116,9426,13052,7791,1896,1050,39.35979,40,2009,
119,E06000042,Milton Keynes,Local Authorities,LA,39,248821,19908,10263,6205,15805,6339,5170,14056,19596,59548,48040,13169,15467,8494,2371,1179,36.05791,35,4177,
120,E06000043,Brighton and Hove,Local Authorities,LA,69,273369,15015,8186,5105,13412,5602,9810,28129,22998,65653,48426,12714,17460,12248,3758,2226,37.44373,35,3083,
121,E06000044,Portsmouth,Local Authorities,LA,35,205056,13548,6970,4061,10927,4628,9034,22761,16991,41524,35086,9820,13861,9210,2792,1549,36.4946,34,2820,
122,E06000045,Southampton,Local Authorities,LA,41,236882,15407,7406,4441,11555,4801,10602,29384,21785,48888,38352,10946,15443,10661,3084,1588,36.11545,32,3385,
123,E06000046,Isle of Wight,Local Authorities,LA,52,138265,6412,3945,2597,7968,3492,2944,6808,6690,23176,28531,10994,17112,10772,3257,1813,44.44724,46,1254,
124,E06000047,County Durham,Local Authorities,LA,80,513242,28574,15818,9841,27869,12107,15278,35155,30628,96150,108200,35395,50883,30635,7321,3506,40.97188,42,5884,
125,E06000048,Northumberland,Local Authorities,LA,81,316028,16003,9863,6482,17677,7631,6992,16224,16187,56156,71135,24533,34366,21018,5233,2687,42.79025,45,3148,
126,E06000049,Cheshire East,Local Authorities,LA,82,370127,20194,12057,7687,21383,9249,8398,18615,19020,72047,79230,26443,37951,23733,6347,3341,41.96989,43,3990,
127,E06000050,Cheshire West and Chester,Local Authorities,LA,63,329608,18050,10742,6701,18737,7904,8296,19511,18796,64058,69122,22686,32782,20387,5215,2716,41.33889,42,3552,
128,E06000051,Shropshire,Local Authorities,LA,75,306129,15698,9392,6240,17915,8113,6933,16619,15619,55358,64738,22300,34212,20680,5571,2836,42.56096,44,3097,
129,E06000054,Wiltshire,Local Authorities,LA,100,470981,28373,16588,10611,29276,12432,10645,24720,25471,91597,98414,31246,45070,28456,7725,4237,40.80416,42,5638,
130,E06000055,Bedford,Local Authorities,LA,26,157479,10099,5742,3634,9955,4267,4005,9640,10134,32838,30816,9303,12761,8680,2297,1130,38.91516,39,2024,
131,E06000056,Central Bedfordshire,Local Authorities,LA,19,254381,16009,9162,5805,15480,6571,5441,13598,14484,53597,54730,16292,21945,13232,3175,1537,39.64802,40,3179,
132,E07000004,Aylesbury Vale,Local Authorities,LA,30,174137,11345,6475,4069,11267,4734,3736,8763,9872,37160,37525,10741,14209,8476,2173,1178,39.11852,40,2246,
133,E07000005,Chiltern,Local Authorities,LA,28,92635,5473,3510,2350,6339,2524,1751,3693,3706,17124,20649,6264,9332,6141,1635,860,41.62361,44,1084,
134,E07000006,South Bucks,Local Authorities,LA,18,66867,3931,2291,1526,4090,1736,1333,3114,3414,12723,14647,4283,6552,4478,1234,687,41.75097,43,712,
135,E07000007,Wycombe,Local Authorities,LA,28,171644,11083,6523,4195,10856,4502,4126,10404,10615,36390,33600,9954,14597,9154,2245,1200,38.8716,39,2255,
136,E07000008,Cambridge,Local Authorities,LA,28,123867,6703,3186,1887,5006,2446,6714,18076,13341,27507,18349,4973,6877,5028,1682,1014,35.56456,31,1482,
137,E07000009,East Cambridgeshire,Local Authorities,LA,20,83818,5506,3098,1918,4812,2004,1547,4110,4895,18271,16878,5469,7540,4867,1244,656,40.19086,40,1167,
138,E07000010,Fenland,Local Authorities,LA,15,95262,5221,2889,1952,5525,2391,2024,5353,5597,17850,19332,6616,10095,6698,1690,836,42.06939,43,1061,
139,E07000011,Huntingdonshire,Local Authorities,LA,20,169508,10098,5860,3844,10361,4309,3821,9507,9805,35342,35671,11402,15489,8457,2186,1168,39.91671,41,1993,
140,E07000012,South Cambridgeshire,Local Authorities,LA,24,148755,9300,5483,3578,9106,3789,2999,7148,8083,31957,30908,9756,13139,8166,2244,1153,40.08003,41,1768,
141,E07000026,Allerdale,Local Authorities,LA,23,96422,4921,2786,1920,5470,2501,2119,4610,4808,17560,20920,7604,10856,6622,1687,868,43.12696,45,995,
142,E07000027,Barrow-in-Furness,Local Authorities,LA,10,69087,3719,2204,1437,4022,1872,1710,3988,3924,13124,14412,4811,7262,4118,984,591,41.34733,42,668,
143,E07000028,Carlisle,Local Authorities,LA,19,107524,6064,3449,2066,5702,2491,2898,6536,6685,20573,22715,7247,10386,6827,1782,902,41.34703,42,1267,
144,E07000029,Copeland,Local Authorities,LA,16,70603,3695,2182,1385,3870,1752,1592,3826,3978,13107,15777,5227,7443,4414,1019,478,42.06713,44,738,
145,E07000030,Eden,Local Authorities,LA,16,52564,2383,1608,991,2947,1166,1150,2442,2323,9216,11807,4343,6288,3803,978,460,44.12301,46,446,
146,E07000031,South Lakeland,Local Authorities,LA,38,103658,4466,2822,1907,5438,2594,1956,4272,4571,17729,22744,8790,13175,8417,2295,1234,45.43461,48,828,
147,E07000032,Amber Valley,Local Authorities,LA,28,122309,6404,3771,2616,7202,3162,2668,6233,6439,24289,26092,9179,12496,7232,1981,1070,41.84085,43,1286,
148,E07000033,Bolsover,Local Authorities,LA,7,75866,4275,2492,1511,4379,1956,1765,4267,4564,15164,15660,5032,7537,4505,1136,606,40.96935,42,861,
149,E07000034,Chesterfield,Local Authorities,LA,15,103788,5778,3132,1939,6041,2747,2427,5784,6071,20546,21773,6956,10105,6408,1918,860,41.40656,42,1180,
150,E07000035,Derbyshire Dales,Local Authorities,LA,29,71116,3077,2169,1475,4208,1733,1411,3008,2719,12027,16499,6075,8506,5134,1438,749,44.53302,47,574,
151,E07000036,Erewash,Local Authorities,LA,16,112081,6527,3637,2298,6188,2945,2600,6714,6407,22876,23199,7211,10657,6704,1714,921,40.7713,41,1331,
152,E07000037,High Peak,Local Authorities,LA,18,90892,4961,2986,1905,5487,2339,2279,5059,4643,17591,20405,6431,8642,5059,1262,706,41.06343,43,963,
153,E07000038,North East Derbyshire,Local Authorities,LA,13,99023,4799,2977,1932,5370,2471,2239,5020,4764,18062,21570,7655,11679,6707,1674,858,43.2683,45,875,
154,E07000039,South Derbyshire,Local Authorities,LA,7,94611,5724,3464,2145,6082,2527,2061,4873,5400,20506,19685,6231,8167,4726,1153,581,39.50237,40,1100,
155,E07000040,East Devon,Local Authorities,LA,61,132457,5846,3640,2374,7074,3121,2678,5517,5201,20553,26679,10907,18126,12877,4043,2300,46.85387,49,1179,
156,E07000041,Exeter,Local Authorities,LA,24,117773,6747,3453,2082,5329,2343,5957,14155,9027,23002,20166,6147,8747,6436,2011,1075,38.12102,35,1458,
157,E07000042,Mid Devon,Local Authorities,LA,18,77750,4498,2592,1651,4713,1941,1619,3675,3888,13848,16533,5831,8512,5163,1430,760,42.32952,44,895,
158,E07000043,North Devon,Local Authorities,LA,26,93667,5014,2930,1871,5286,2317,2070,4821,4565,16192,19366,7239,10937,6856,1911,1104,43.33698,45,1025,
159,E07000044,South Hams,Local Authorities,LA,22,83140,3677,2333,1624,4602,1979,1677,3648,3424,12777,19130,7479,10503,6462,1828,961,45.33772,48,741,
160,E07000045,Teignbridge,Local Authorities,LA,44,124220,5984,3670,2371,6966,3028,2638,5694,5432,20957,26993,9980,14749,9659,2997,1611,44.55843,47,1161,
161,E07000046,Torridge,Local Authorities,LA,16,63839,3157,1814,1277,3493,1559,1295,3025,2634,10503,13768,5559,8167,4851,1306,654,44.59161,47,627,
162,E07000047,West Devon,Local Authorities,LA,12,53553,2556,1590,1060,3055,1298,1043,2394,2244,8738,12058,4487,6679,3942,1119,650,44.58015,47,480,
163,E07000048,Christchurch,Local Authorities,LA,18,47752,2143,1360,854,2562,1071,897,2063,1882,7474,8994,3721,6543,5150,1620,874,47.13979,49,386,
164,E07000049,East Dorset,Local Authorities,LA,36,87166,3737,2457,1635,4702,1983,1740,3632,3013,13155,18360,7355,11809,8677,2526,1307,46.91669,49,676,
165,E07000050,North Dorset,Local Authorities,LA,13,68583,3647,2171,1400,4204,2043,1535,3402,3197,12109,13999,5146,7709,4940,1389,761,42.79874,44,654,
166,E07000051,Purbeck,Local Authorities,LA,15,44973,2114,1315,899,2428,1110,885,2165,1998,7385,9465,3723,5648,3767,1038,494,44.86952,47,408,
167,E07000052,West Dorset,Local Authorities,LA,48,99264,4343,2633,1882,5579,2626,1954,4300,3607,15208,21220,8343,13101,9027,2620,1530,46.18967,49,833,
168,E07000053,Weymouth and Portland,Local Authorities,LA,19,65167,3349,1928,1309,3548,1560,1608,3888,3394,11593,13732,4916,7180,4531,1242,662,42.82866,44,692,
169,E07000061,Eastbourne,Local Authorities,LA,54,99412,5327,2978,1889,5380,2487,2617,6093,6063,18195,18294,6639,10085,8020,2586,1612,42.83426,43,1085,
170,E07000062,Hastings,Local Authorities,LA,31,90254,5570,2925,1847,5317,2358,2294,5769,5621,17677,18276,6092,7949,5036,1515,901,40.22524,41,1142,
171,E07000063,Lewes,Local Authorities,LA,33,97502,5052,3158,2071,5551,2366,2077,4679,4596,16907,20541,7214,10889,7731,2232,1302,43.7352,45,966,
172,E07000064,Rother,Local Authorities,LA,66,90588,3999,2488,1608,5119,2237,1786,3632,3377,13026,18576,7962,12265,8874,2836,1788,47.16723,50,818,
173,E07000065,Wealden,Local Authorities,LA,55,148915,7508,4866,3234,9023,3837,3130,6306,6161,24958,32294,11615,17578,11470,3180,1914,43.98471,46,1383,
174,E07000066,Basildon,Local Authorities,LA,24,174497,11405,6537,4128,10891,4625,4075,10089,10936,36700,34388,10497,14485,9868,2375,1160,39.06526,39,2211,
175,E07000067,Braintree,Local Authorities,LA,34,147084,9467,5345,3384,8943,3640,3182,7957,8373,30487,30079,9967,13033,7872,2258,1250,40.01403,41,1877,
176,E07000068,Brentwood,Local Authorities,LA,13,73601,3926,2452,1605,4585,2068,1509,3648,3819,14615,15648,4759,6893,4966,1453,737,41.63916,43,726,
177,E07000069,Castle Point,Local Authorities,LA,14,88011,4173,2643,1752,5188,2317,2047,4740,4212,15612,18077,7136,10485,6202,1532,782,43.18186,45,809,
178,E07000070,Chelmsford,Local Authorities,LA,29,168310,9994,5784,3747,9747,4415,3804,9875,10643,35162,34114,10972,14708,9538,2495,1277,40.05206,40,1982,
179,E07000071,Colchester,Local Authorities,LA,33,173074,10647,5841,3562,9606,4134,5586,13886,11947,35620,32104,10842,14443,9147,2398,1320,38.89722,38,2188,
180,E07000072,Epping Forest,Local Authorities,LA,24,124659,7366,4193,2638,7235,3094,2771,6663,6624,25542,26169,8295,11464,7743,2178,1165,41.08944,42,1474,
181,E07000073,Harlow,Local Authorities,LA,11,81944,6020,3045,1872,4929,2196,1831,4858,5970,17699,16059,4143,5913,4783,1085,524,38.20165,37,1178,
182,E07000074,Maldon,Local Authorities,LA,16,61629,3027,1924,1337,3726,1533,1218,2883,2480,11430,13785,5101,6976,3879,916,603,43.02382,45,581,
183,E07000075,Rochford,Local Authorities,LA,8,83287,4369,2608,1760,5141,2221,1771,4138,3729,16073,17554,6106,8833,5725,1435,686,42.32705,44,836,
184,E07000076,Tendring,Local Authorities,LA,51,138048,6753,3940,2562,7671,3380,2963,6709,5672,21166,26984,11348,18828,12797,3653,1995,45.70375,48,1339,
185,E07000077,Uttlesford,Local Authorities,LA,26,79443,4649,2983,1949,5339,2288,1635,3601,3602,15754,17614,5330,7262,4406,1193,714,40.56175,42,915,
186,E07000078,Cheltenham,Local Authorities,LA,21,115732,6486,3483,2206,6201,2874,3334,9185,9324,24033,21544,6385,9411,6592,2161,1165,39.50158,38,1357,
187,E07000079,Cotswold,Local Authorities,LA,26,82881,3929,2459,1667,4746,2001,1858,3837,3416,14629,18529,6379,9426,6281,1816,966,44.15487,46,745,
188,E07000080,Forest of Dean,Local Authorities,LA,14,81961,4055,2480,1639,4779,2409,2048,4200,3601,14337,17985,6381,9380,5374,1455,777,42.95749,45,796,
189,E07000081,Gloucester,Local Authorities,LA,17,121688,8239,4324,2789,7274,3199,3173,8402,8720,25613,23774,6585,9476,6092,1708,789,38.21905,38,1699,
190,E07000082,Stroud,Local Authorities,LA,26,112779,6113,3657,2509,6791,3055,2372,5246,4910,21447,24952,8292,11681,7232,2015,1049,42.29323,44,1154,
191,E07000083,Tewkesbury,Local Authorities,LA,20,81943,4616,2656,1671,4688,1936,1578,4088,4023,15980,17527,5717,8836,5405,1516,752,42.36333,44,934,
192,E07000084,Basingstoke and Deane,Local Authorities,LA,21,167799,11355,6085,3862,10369,4087,3342,8910,11034,37514,34720,10189,13447,7806,1945,953,38.68223,39,2357,
193,E07000085,East Hampshire,Local Authorities,LA,30,115608,6209,3874,2638,7305,3252,2516,5382,5101,21265,25964,8236,11806,7313,2045,1139,42.02593,44,1187,
194,E07000086,Eastleigh,Local Authorities,LA,28,125199,7737,4317,2666,7399,3205,2724,7269,7295,25844,26240,8074,10931,7110,1838,952,40.10923,41,1536,
195,E07000087,Fareham,Local Authorities,LA,22,111581,5578,3506,2292,6696,2874,2453,5761,5406,21043,24004,7836,11821,7878,2024,1053,42.57809,44,1087,
196,E07000088,Gosport,Local Authorities,LA,19,82622,5425,2930,1795,4936,2061,1915,4979,5405,16326,16438,5172,7203,4912,1327,664,39.76149,40,1085,
197,E07000089,Hart,Local Authorities,LA,13,91033,5663,3527,2207,5795,2308,1720,4261,4542,19628,19323,5881,8424,4752,1209,633,40.00172,41,1100,
198,E07000090,Havant,Local Authorities,LA,28,120684,6710,3944,2448,7195,3145,2890,6798,6444,21001,24908,8196,12865,9134,2254,1172,42.27235,44,1305,
199,E07000091,New Forest,Local Authorities,LA,68,176462,8592,5100,3412,9665,3988,3559,8146,7544,29185,37061,13889,21426,15384,4681,2651,45.20522,47,1722,
200,E07000092,Rushmoor,Local Authorities,LA,19,93807,6747,3550,2018,5440,2532,2286,6682,7282,22579,17438,4611,6242,3626,1015,561,36.62632,36,1407,
201,E07000093,Test Valley,Local Authorities,LA,24,116398,6711,4014,2582,7117,3051,2470,5694,5399,22666,25414,8323,11635,6925,1826,1011,41.39841,43,1322,
202,E07000094,Winchester,Local Authorities,LA,40,116595,6580,3971,2526,6953,3253,3426,7517,5635,22010,23818,7672,11164,7332,2069,1214,40.93251,42,1246,
203,E07000095,Broxbourne,Local Authorities,LA,8,93609,6175,3409,2141,5903,2459,2240,5620,5671,19809,18406,5349,8045,5436,1246,569,39.12514,39,1266,
204,E07000096,Dacorum,Local Authorities,LA,33,144847,9718,5139,3269,8862,3802,3037,7919,8671,30941,30356,8374,11310,8198,2267,1108,39.41183,40,2028,
205,E07000097,East Hertfordshire,Local Authorities,LA,32,137687,8299,5003,3254,9096,3987,2755,6411,7328,30451,29608,8346,11207,7248,1824,974,39.54385,40,1746,
206,E07000098,Hertsmere,Local Authorities,LA,15,100031,6707,3673,2296,6212,2721,2094,5869,6099,20683,20269,5778,7998,5674,1748,908,39.35615,39,1318,
207,E07000099,North Hertfordshire,Local Authorities,LA,28,127114,8027,4559,2842,7669,3217,2524,6126,7582,27517,25953,7758,10833,7501,2215,1162,40.18275,40,1599,
208,E07000100,St Albans,Local Authorities,LA,22,140664,10296,5629,3453,8926,3641,2561,6342,7831,32409,28120,7910,11049,7533,2092,1102,38.86361,39,2013,
209,E07000101,Stevenage,Local Authorities,LA,14,83957,5906,3064,1907,5100,2299,2178,5448,6089,17773,17053,4154,5994,4331,1035,512,37.81496,37,1247,
210,E07000102,Three Rivers,Local Authorities,LA,30,87317,5433,3190,2059,5673,2333,1823,4357,4716,18269,18301,5314,7327,5167,1425,787,40.02636,41,1081,
211,E07000103,Watford,Local Authorities,LA,18,90301,6730,3353,2083,5298,2145,2013,5711,8053,22469,16155,3996,5743,3829,1013,566,36.45739,35,1460,
212,E07000104,Welwyn Hatfield,Local Authorities,LA,19,110535,6775,3693,2340,6085,2703,4251,11436,7765,21442,20333,5500,8084,6331,1655,869,37.96391,36,1376,
213,E07000105,Ashford,Local Authorities,LA,36,117956,7771,4361,2997,7838,3164,2879,6245,6470,23590,23416,7679,10809,6426,1792,941,39.58897,40,1497,
214,E07000106,Canterbury,Local Authorities,LA,41,151145,7514,4533,2973,8393,3656,7892,16222,8658,24642,26800,9656,14341,9540,2921,1643,40.00412,39,1547,
215,E07000107,Dartford,Local Authorities,LA,18,97365,6765,3731,2248,5922,2461,2187,6199,7081,21841,18528,5093,7098,4977,1240,637,37.8461,37,1428,
216,E07000108,Dover,Local Authorities,LA,24,111674,6259,3567,2312,6657,2959,2549,5844,5891,19935,23463,8224,11921,7403,2022,1171,42.14824,44,1243,
217,E07000109,Gravesham,Local Authorities,LA,18,101720,6647,3894,2381,6529,2942,2476,6502,6618,20673,19589,5874,8517,5725,1348,700,38.72942,39,1302,
218,E07000110,Maidstone,Local Authorities,LA,29,155143,9553,5406,3379,9443,4017,3368,8633,9641,31704,31398,10201,14269,8731,2285,1229,40.13681,41,1970,
219,E07000111,Sevenoaks,Local Authorities,LA,29,114893,6976,4261,2672,7093,3180,2287,5232,5234,22377,24316,8188,11284,7446,1908,1029,41.37833,43,1357,
220,E07000112,Shepway,Local Authorities,LA,29,107969,5996,3333,2242,6331,2796,2487,6200,5591,19532,21597,8142,11593,7413,2141,1268,42.36877,43,1194,
221,E07000113,Swale,Local Authorities,LA,16,135835,8747,4799,3173,8780,3664,3249,7790,8180,26342,27467,9224,12691,7273,1744,915,39.60567,40,1774,
222,E07000114,Thanet,Local Authorities,LA,42,134186,8093,4436,2805,8570,3473,3394,7396,7320,23092,25887,9581,14309,9571,2866,1667,41.93821,43,1634,
223,E07000115,Tonbridge and Malling,Local Authorities,LA,25,120805,7447,4665,3003,8169,3644,2734,5841,5804,24880,24898,7593,11041,6950,1580,856,39.79988,41,1377,
224,E07000116,Tunbridge Wells,Local Authorities,LA,32,115049,7308,4242,2734,7671,3303,2290,5575,6809,24278,23124,7029,9644,6493,1836,1102,39.64666,40,1429,
225,E07000117,Burnley,Local Authorities,LA,22,87059,5847,3211,1956,5040,2221,2229,5574,5751,16979,17186,5841,7595,4606,1276,657,39.35515,39,1169,
226,E07000118,Chorley,Local Authorities,LA,16,107155,6203,3714,2249,6076,2558,2202,6122,6210,22338,22475,7665,10381,5420,1407,754,40.53112,41,1233,
227,E07000119,Fylde,Local Authorities,LA,20,75757,3612,2157,1420,4008,1743,1541,3393,3591,12978,16473,5695,9130,6516,1771,926,44.93044,47,725,
228,E07000120,Hyndburn,Local Authorities,LA,13,80734,5427,3084,1918,5057,2170,1954,5041,5287,16329,15448,5054,7073,4183,1043,510,38.72979,39,1041,
229,E07000121,Lancaster,Local Authorities,LA,43,138375,7232,3956,2511,7714,3260,6456,13194,7969,24291,26135,8735,13256,8572,2348,1189,40.17263,40,1531,
230,E07000122,Pendle,Local Authorities,LA,17,89452,6362,3403,2060,5359,2190,2155,5722,6301,17425,17009,5976,7662,4786,1292,610,38.90371,39,1328,
231,E07000123,Preston,Local Authorities,LA,26,140202,9323,4933,3005,7940,3334,5536,14062,10750,28116,25294,7084,9909,6788,1748,801,36.92838,35,1899,
232,E07000124,Ribble Valley,Local Authorities,LA,16,57132,2881,1819,1284,3805,1552,1215,2685,2414,10173,12731,4251,6264,3788,965,514,42.52716,44,530,
233,E07000125,Rossendale,Local Authorities,LA,9,67982,4329,2340,1563,4052,1849,1573,3869,3940,13955,14363,4721,5805,3385,914,437,39.64951,40,851,
234,E07000126,South Ribble,Local Authorities,LA,21,109057,6331,3615,2268,6359,2728,2424,6349,6290,21855,22595,7510,10707,6351,1629,725,40.82741,42,1275,
235,E07000127,West Lancashire,Local Authorities,LA,21,110685,5998,3594,2341,6685,2812,3557,7196,5447,19720,23219,7886,11764,6754,1558,799,41.20287,42,1161,
236,E07000128,Wyre,Local Authorities,LA,33,107749,5046,3154,2010,5788,2769,2510,5387,4869,17716,22429,8162,13821,9228,2429,1147,44.72554,47,938,
